Observation Order,Exam Code,Course ID,Year,Semester,Course,Subject,Exam,Class Order,ID,Gender,Exam Type,Correct,Wrong,Score
3,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,3,2437268,F,A,17,8,68
5,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,5,2436126,F,A,17,8,68
6,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,6,2580688,F,A,15,10,60
10,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,10,2436178,M,A,19,6,76
11,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,11,2580738,F,A,16,9,64
12,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,12,2704964,F,A,19,6,76
13,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,13,2436194,F,A,19,6,76
18,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,18,2438768,F,A,23,2,92
21,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,21,2568626,M,A,16,9,64
23,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,23,2436278,F,A,19,6,76
25,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,25,2437482,F,A,21,4,84
29,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,29,2705146,F,A,20,5,80
32,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,32,2303670,F,A,23,2,92
33,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,33,2293686,M,A,18,7,72
