category,weight,wing,tarsus,blength,bdepth,bwidth,Prin1,Prin1 2,Prin2
Ff,15.3,66.5,19,10,9.05,7.7,-0.782346323,-1.342409434,-0.410577639
Ff,12.9,63.5,18.2,9.25,7.5,7.4,-2.323202543,-3.050128875,-0.045794423
Ff,11.4,61,17,8.4,6.7,6.9,-3.77065499,-4.403855761,0.034047404
fF,16.1,69,20.1,11,9.3,9,0.44720807,0.409809363,-0.536998715
Ff,12.82,63.56,17.75,9.28,7.68,7.34,-2.568424949,-2.960906913,-0.077554273
Ff,16.7,69,20.5,11.7,9.9,9.7,0.799781817,1.759658304,-0.709956011
Ff,14.5,68,20,9.6,8.7,8,-0.167218303,-1.438404633,-0.629835246
Ff,13.7,64,17.7,10.6,9,8.6,-2.306146332,-0.328502494,-0.456398032
Ff,12.9,66,17.3,10.4,7.8,7.6,-2.337498414,-2.285019815,0.397592353
fF,12.77,63.15,18.72,9.04,7.64,7.24,-2.144012488,-3.159824312,-0.152977728
Ff,13.9,64,18.6,9.4,7.2,7.4,-1.784160511,-3.237076366,0.168277252
Ff,13.9,64,18.3,9,7.3,7,-1.942427952,-3.667104534,0.07871205
Ff,13.08,61.75,18.45,9.27,7.95,6.9,-2.471202378,-3.183730631,0.003673135
Ff,16.6,68.5,19.1,11.85,10.85,9.65,-0.054492615,2.487465048,-1.004714936
fF,17,70,19.65,11,9.55,8.7,0.606335227,0.310692903,-0.505725667
fF,16.76,63.84,18.64,10.09,9.31,8.8,-1.117806588,-0.045555397,-0.973948432
fF,13.48,62.34,17.8,9.64,8.28,7.73,-2.61106865,-2.012912822,-0.304244413
Ff,21.65,72,20.4,12.75,10.4,9.8,2.467425303,2.552134437,-0.36340811
Ff,17.9,68,19.6,11,10.2,9.6,0.423877896,1.687035194,-1.195125403
fF,17.1,68,20.1,11.2,9.7,8.9,0.498922975,0.679848831,-0.546026008
fF,16,65,18.6,10.9,9.8,8.9,-1.104531209,0.668389201,-0.761462002
Ff,12.2,64.5,18.3,9.2,8.2,7.95,-2.251386388,-1.990432275,-0.624716135
Ff,16.65,66,19.85,11,9.5,8.75,-0.10753459,0.320789736,-0.507392719
Ff,18.6,69.5,20.15,11.2,9.15,9,1.155480983,0.353223347,-0.357923493
Ff,17.69,69.33,20.49,11.24,9.21,8.93,1.088851399,0.343184762,-0.32828287
fF,12.93,63.67,17.97,9.13,7.7,7.23,-2.406148951,-3.096749052,-0.122046696
Ff,9.03,60.34,16.8,8.44,6.82,6.58,-4.556864763,-4.610813264,0.152852083
fF,13.2,67,17.35,9.7,7.45,7.3,-2.05614268,-3.053133097,0.280693673
Ff,12.76,61.83,17.55,9.74,7.86,7.95,-3.006762091,-2.093118417,-0.168864993
Ff,16.66,69.33,19.7,10.49,9.07,8.75,0.429085459,-0.161117168,-0.618385083
Ff,15.36,63.33,19.35,10.79,8.91,8.45,-1.167468107,-0.487693858,-0.239797481
fF,10.8,60,17.2,8.5,6.5,6.4,-3.990896435,-5.014810364,0.406139729
Ff,12.73,62.34,19.3,9.84,8.32,8.18,-1.996669558,-1.485373436,-0.412438074
Ff,14.27,67.7,18.9,9.33,7.7,7.33,-0.85705405,-2.940464096,-0.052659256
Ff,17.8,71,19.65,11.55,9.8,9,0.979271797,0.957469986,-0.432732777
fF,18.4,71,18.7,11,9.2,8.5,0.619642058,-0.153584502,-0.265079368
Ff,15.4,73,19.3,11.8,10.5,9.8,0.596829644,2.348858611,-0.953448904
Ff,15.9,62,19.3,9.9,8.8,8.2,-1.311440004,-1.078273981,-0.591233344
Ff,13,64,17.6,9.9,7.5,7.2,-2.524044386,-3.052841856,0.420561528
Ff,19.7,69,19.9,12.3,9.9,8.2,1.190999393,0.47775058,0.323966661
Ff,13.1,65,18.2,9.7,8.7,8.3,-1.999715174,-1.117100683,-0.709830464
fF,20,70,19.1,13,11.2,10.15,1.02393071,3.582903335,-0.720225621
Ff,14.5,63,18.3,9.8,7.5,7.6,-1.985080042,-2.693293686,0.17942772
Ff,13.4,67,18.4,9.8,7.9,7.6,-1.455023139,-2.385009997,0.009261836
Ff,16.8,68.5,20.55,10.15,8.95,8.4,0.757650182,-0.694362961,-0.602717932
fF,9.7,62,16.6,9.1,7,6.8,-4.198535391,-4.063336294,0.355719121
Ff,14.3,65,18.5,10.1,8.2,7.9,-1.558346749,-1.773472913,-0.083094779
Ff,12.7,65,16.9,10,8.9,8.6,-2.779907747,-0.582634521,-0.759645608
Ff,14.6,65,18.5,10.9,9.6,8.8,-1.487571503,0.416982768,-0.630503485
fF,11.2,61,16.8,8.9,7.5,7.4,-3.923350115,-3.15341452,-0.247504699
Ff,13.73,65.3,18.4,9.5,7.35,7.55,-1.690314756,-2.946062916,0.09328319
Ff,18.25,72,18.9,11.6,9,8.25,0.873968644,-0.373826714,0.280481557
Ff,15.6,68,19.8,11.1,8.9,8.6,-0.013220695,-0.258022497,-0.125699023
Ff,14.8,67,20,10,8.3,8.4,-0.280645638,-1.239589232,-0.412645632
Ff,11.3,61,17,8.6,7.2,7.2,-3.794246739,-3.667687016,-0.20102366
fF,20.9,71.5,20.95,13.55,9.45,9.1,2.488542874,1.375190027,0.82291695
Ff,14.5,69,19.3,9.5,8.1,8.1,-0.352306418,-1.833075762,-0.478093504
Ff,14.2,63,18,10,7.7,7.9,-2.214122729,-2.188337708,0.071981068
fF,16.1,64,18.9,10.4,9.1,9,-1.1068746,0.078606414,-0.797704819
Ff,13.7,65,18,9.4,7.8,7.5,-1.96367631,-2.677386244,-0.132847149
fF,12.3,64,18.4,9.5,7.3,7.3,-2.267140117,-3.227759849,0.229242864
fF,20.6,67,19.5,12.9,11,9.1,0.823896714,2.377973126,-0.211080648
fF,15.2,67,18.9,10.2,8.7,8.6,-0.766592595,-0.677755997,-0.559299651
Ff,14.6,67,19,10.2,8.7,8,-0.855387273,-1.261343529,-0.2840462
Ff,19.7,72,21.3,13,11,10.5,2.482188529,3.76918755,-0.795707191
Ff,20.7,73,20.9,13.5,10,9.9,2.691285341,2.562441716,0.193118506
Ff,12.8,65,18.6,10.1,8,7.9,-1.859467165,-1.927614757,0.001988163
Ff,16.6,67,18.8,10.8,8.8,8.8,-0.489063928,-0.229094794,-0.347803225
Ff,16.8,67,19.4,11.3,9.6,9,-0.125345548,0.729552682,-0.491728604
