casualties,drivers,front,rear,kms,petrol_price,van_killed,law,year,month
107,1687,867,269,9059,0.102971812,12,0,1969,Jan
97,1508,825,265,7685,0.102362996,6,0,1969,Feb
102,1507,806,319,9963,0.102062491,12,0,1969,Mar
87,1385,814,407,10955,0.100873301,8,0,1969,Apr
119,1632,991,454,11823,0.101019673,10,0,1969,May
106,1511,945,427,12391,0.100581192,13,0,1969,Jun
110,1559,1004,522,13460,0.103773981,11,0,1969,Jul
106,1630,1091,536,14055,0.104076404,6,0,1969,Aug
107,1579,958,405,12106,0.103773981,10,0,1969,Sep
134,1653,850,437,11372,0.103026401,16,0,1969,Oct
147,2152,1109,434,9834,0.102730112,13,0,1969,Nov
180,2148,1113,437,9267,0.101997192,14,0,1969,Dec
125,1752,925,316,9130,0.101274563,14,0,1970,Jan
134,1765,903,311,8933,0.100703976,6,0,1970,Feb
110,1717,1006,351,11000,0.100139607,8,0,1970,Mar
102,1558,892,362,10733,0.098621104,11,0,1970,Apr
103,1575,990,486,12912,0.098349285,7,0,1970,May
111,1520,866,429,12926,0.098080177,13,0,1970,Jun
120,1805,1095,551,13990,0.097279208,13,0,1970,Jul
129,1800,1204,646,14926,0.097410624,11,0,1970,Aug
122,1719,1029,456,12900,0.097425237,11,0,1970,Sep
183,2008,1147,475,12034,0.096380633,14,0,1970,Oct
169,2242,1171,456,10643,0.095738956,16,0,1970,Nov
190,2478,1299,468,10742,0.095106306,14,0,1970,Dec
134,2030,944,356,10266,0.096735967,17,0,1971,Jan
108,1655,874,271,10281,0.096109222487367807,16,0,1971,Feb
104,1693,840,354,11527,0.095367255,15,0,1971,Mar
117,1623,893,427,12281,0.094709592,13,0,1971,Apr
157,1805,1007,465,13587,0.09411762,13,0,1971,May
148,1746,973,440,13049,0.093532155,15,0,1971,Jun
130,1795,1097,539,16055,0.092954049,12,0,1971,Jul
140,1926,1194,646,15220,0.092839786,6,0,1971,Aug
136,1619,988,457,13824,0.092724736,9,0,1971,Sep
140,1992,1077,446,12729,0.092269651,13,0,1971,Oct
187,2233,1045,402,11467,0.091706685,14,0,1971,Nov
150,2192,1115,441,11351,0.091262072,15,0,1971,Dec
159,2080,1005,359,10803,0.090711603,14,0,1972,Jan
143,1768,857,334,10548,0.090276328,3,0,1972,Feb
114,1835,879,312,12368,0.089951918,12,0,1972,Mar
127,1569,887,427,13311,0.089099639,13,0,1972,Apr
159,1976,1075,434,13885,0.088679193,12,0,1972,May
156,1853,1121,486,14088,0.088159289,8,0,1972,Jun
138,1965,1190,569,16932,0.088902057,8,0,1972,Jul
120,1689,1058,523,16164,0.088181331,15,0,1972,Aug
117,1778,939,418,14883,0.088940293,8,0,1972,Sep
170,1976,1074,452,13532,0.08772661,5,0,1972,Oct
168,2397,1089,462,12220,0.087428846,17,0,1972,Nov
198,2654,1208,497,12025,0.08703543,14,0,1972,Dec
144,2097,903,354,11692,0.086449919,13,0,1973,Jan
146,1963,916,347,11081,0.085872641,5,0,1973,Feb
109,1677,787,276,13745,0.085398222,8,0,1973,Mar
131,1941,1114,472,14382,0.083821981,5,0,1973,Apr
151,2003,1014,487,14391,0.08459078,12,0,1973,May
140,1813,1022,505,15597,0.084136904,11,0,1973,Jun
153,2012,1114,619,16834,0.083778405,13,0,1973,Jul
140,1912,1132,640,17282,0.083510743,15,0,1973,Aug
161,2084,1111,559,15779,0.082806394,11,0,1973,Sep
168,2080,1008,453,13946,0.081178893,11,0,1973,Oct
152,2118,916,418,12701,0.082853607,10,0,1973,Nov
136,2150,992,419,10431,0.094190119,13,0,1973,Dec
113,1608,731,262,11616,0.092399843,8,0,1974,Jan
100,1503,665,299,10808,0.108161478,6,0,1974,Feb
103,1548,724,303,12421,0.107211689,8,0,1974,Mar
103,1382,744,401,13605,0.114042967,14,0,1974,Apr
121,1731,910,413,14455,0.112454116,12,0,1974,May
134,1798,883,426,15019,0.111316253,14,0,1974,Jun
133,1779,900,516,15662,0.110301252,13,0,1974,Jul
129,1887,1057,600,16745,0.108197177,9,0,1974,Aug
144,2004,1076,459,14717,0.107027443,4,0,1974,Sep
154,2077,919,443,13756,0.104946981,13,0,1974,Oct
156,2092,920,412,12531,0.119357749,6,0,1974,Nov
163,2051,953,400,12568,0.117621904,15,0,1974,Dec
122,1577,664,278,11249,0.133027421,12,0,1975,Jan
92,1356,607,302,11096,0.130845244,16,0,1975,Feb
117,1652,777,381,12637,0.128318477,7,0,1975,Mar
95,1382,633,279,13018,0.123547448,12,0,1975,Apr
96,1519,791,442,15005,0.118586812,10,0,1975,May
108,1421,790,409,15235,0.11633748,9,0,1975,Jun
108,1442,803,416,15552,0.115161476,9,0,1975,Jul
106,1543,884,511,16905,0.114501197,6,0,1975,Aug
140,1656,769,393,14776,0.113522979,7,0,1975,Sep
114,1561,732,345,14104,0.111930179,13,0,1975,Oct
158,1905,859,391,12854,0.110610529,14,0,1975,Nov
161,2199,994,470,12956,0.115274389,13,0,1975,Dec
102,1473,704,266,12177,0.113793486,14,0,1976,Jan
127,1655,684,312,11918,0.112349582,11,0,1976,Feb
125,1407,671,300,13517,0.111753469,11,0,1976,Mar
101,1395,643,373,14417,0.109642523,10,0,1976,Apr
97,1530,771,412,15911,0.108440895,4,0,1976,May
112,1309,644,322,15589,0.107884939,8,0,1976,Jun
112,1526,828,458,16543,0.109084769,9,0,1976,Jul
113,1327,748,427,17925,0.10757145,10,0,1976,Aug
108,1627,767,346,15406,0.106164022,10,0,1976,Sep
128,1748,825,421,14601,0.106299999,5,0,1976,Oct
154,1958,810,344,13107,0.104825313,13,0,1976,Nov
162,2274,986,370,12268,0.103451746,12,0,1976,Dec
112,1648,714,291,11972,0.10144992,10,0,1977,Jan
79,1401,567,224,12028,0.100402316,9,0,1977,Feb
82,1411,616,266,14033,0.098862034,7,0,1977,Mar
127,1403,678,338,14244,0.102496154,5,0,1977,Apr
108,1394,742,298,15287,0.103027432,10,0,1977,May
110,1520,840,386,16954,0.102178908,5,0,1977,Jun
123,1528,888,479,17361,0.099836643,6,0,1977,Jul
103,1643,852,473,17694,0.09263669,8,0,1977,Aug
97,1515,774,332,16222,0.091814963,6,0,1977,Sep
140,1685,831,391,14969,0.090724304,12,0,1977,Oct
165,2000,889,370,13624,0.090021207,15,0,1977,Nov
183,2215,1046,431,13842,0.089330706,7,0,1977,Dec
148,1956,889,366,12387,0.088442735,14,0,1978,Jan
111,1462,626,250,11608,0.088352569,4,0,1978,Feb
116,1563,808,355,15021,0.086757362,10,0,1978,Mar
115,1459,746,304,14834,0.084995242,8,0,1978,Apr
100,1446,754,379,16565,0.084567944,7,0,1978,May
106,1622,865,440,16882,0.084431899,11,0,1978,Jun
134,1657,980,500,18012,0.084350883,3,0,1978,Jul
125,1638,959,511,18855,0.083600983,5,0,1978,Aug
117,1643,856,384,17243,0.083417263,11,0,1978,Sep
122,1683,798,366,16045,0.08274514,10,0,1978,Oct
153,2050,942,432,14745,0.085235267,10,0,1978,Nov
178,2262,1010,390,13726,0.084770303,7,0,1978,Dec
114,1813,796,306,11196,0.084458921,10,0,1979,Jan
94,1445,643,232,12105,0.085352119,11,0,1979,Feb
128,1762,794,342,14723,0.087559213,9,0,1979,Mar
119,1461,750,329,15582,0.090382917,7,0,1979,Apr
111,1556,809,394,16863,0.090783294,8,0,1979,May
110,1431,716,355,16758,0.10874278,13,0,1979,Jun
114,1427,851,385,17434,0.114142227,8,0,1979,Jul
118,1554,931,463,18359,0.112992933,5,0,1979,Aug
115,1645,834,453,17189,0.111320706,8,0,1979,Sep
132,1653,762,373,16909,0.109126229,7,0,1979,Oct
153,2016,880,401,15380,0.107698459,12,0,1979,Nov
171,2207,1077,466,15161,0.107601574,10,0,1979,Dec
115,1665,748,306,14027,0.103775019,7,0,1980,Jan
95,1361,593,263,14478,0.10711417,4,0,1980,Feb
92,1506,720,323,16155,0.107374774,10,0,1980,Mar
100,1360,646,310,16585,0.111695373,4,0,1980,Apr
95,1453,765,424,18117,0.110638185,8,0,1980,May
114,1522,820,403,17552,0.111855211,8,0,1980,Jun
